,location,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
79684,Palau,2.0,,,,,,110.047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18174.0,47.237,,,,13240.405,,,15.89,7.7,22.7,,4.8,73.7,0.826
80235,Palestine,342282.0,2466.0,1868.286,3680.0,5.0,4.857,65536.663,472.165,357.72,704.609,0.957,0.93,1.57,,,,,12812.0,,,2.453,9890.0,1.894,0.189,5.3,tests performed,1392299.0,935756.0,456543.0,,51410.0,31776.0,26.66,17.92,8.74,,6084.0,,5222756.0,778.202,20.4,3.043,1.726,4449.898,1.0,265.91,10.59,,,,,74.05,0.708
80782,Panama,457487.0,450.0,574.429,7061.0,7.0,6.143,104411.351,102.703,131.101,1611.518,1.598,1.402,0.83,,,,,9423.0,3663596.0,836.135,2.151,9391.0,2.143,0.061,16.3,tests performed,4359910.0,2727201.0,1632709.0,,4726.0,40980.0,99.51,62.24,37.26,,9353.0,71.76,4381583.0,55.133,29.7,7.918,5.03,22267.037,2.2,128.346,8.33,2.4,9.9,,2.3,78.51,0.815
81318,Papua New Guinea,17838.0,,,192.0,,,1956.134,,,21.055,,,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,9119005.0,18.22,22.6,3.808,2.142,3823.194,,561.494,17.65,23.5,48.8,,,64.5,0.555
81867,Paraguay,458528.0,73.0,79.571,15767.0,25.0,22.0,63511.191,10.111,11.022,2183.904,3.463,3.047,0.67,,,,,2190.0,1773409.0,245.637,0.303,2617.0,0.362,0.03,32.9,tests performed,4059098.0,2285695.0,1773403.0,,22526.0,23171.0,56.22,31.66,24.56,,3209.0,49.07,7219641.0,17.144,26.5,6.378,3.833,8827.01,1.7,199.128,8.27,5.0,21.6,79.602,1.3,74.25,0.728
82482,Peru,2149591.0,,842.857,198263.0,,45.571,64437.311,,25.266,5943.24,,1.366,0.93,,,,,,,,,,,,,,18855954.0,10523443.0,8332511.0,,94277.0,172835.0,56.52,31.55,24.98,,5181.0,67.59,33359415.0,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,,,1.6,76.74,0.777
83068,Philippines,1989857.0,13655.0,17166.571,33448.0,118.0,169.143,17919.067,122.966,154.588,301.206,1.063,1.523,1.13,,,,,62501.0,17675978.0,159.176,0.563,64955.0,0.585,0.264,3.8,people tested,33706295.0,,13958418.0,,,377580.0,30.35,,12.57,,3400.0,74.54,111046910.0,351.873,25.2,4.803,2.661,7599.188,,370.437,7.07,7.8,40.8,78.463,1.0,71.23,0.718
83669,Poland,2888670.0,285.0,233.286,75345.0,5.0,3.0,76425.907,7.54,6.172,1993.412,0.132,0.079,1.28,,,,,44330.0,19370853.0,512.497,1.173,36382.0,0.963,0.006,156.0,people tested,36286614.0,19284686.0,18787636.0,,54244.0,52801.0,96.0,51.02,49.71,,1397.0,38.89,37797000.0,124.027,41.8,16.763,10.202,27216.445,,227.331,5.91,23.3,33.1,,6.62,78.73,0.88
84235,Portugal,1037927.0,1908.0,2160.0,17743.0,13.0,12.143,102078.566,187.649,212.433,1744.997,1.279,1.194,0.89,,,,,50911.0,17055144.0,1677.348,5.007,50770.0,4.993,0.043,23.5,tests performed,14719449.0,8638934.0,7600174.0,,54833.0,59345.0,144.76,84.96,74.75,,5836.0,52.78,10167923.0,112.371,46.2,21.502,14.924,27936.896,0.5,127.842,9.85,16.3,30.0,,3.39,82.05,0.864
84791,Qatar,232744.0,173.0,200.143,602.0,,0.143,79420.609,59.034,68.296,205.424,,0.049,0.85,,,,,6669.0,2504644.0,854.674,2.276,5760.0,1.966,0.035,28.8,people tested,4454401.0,2323543.0,2130858.0,,,23783.0,152.0,79.29,72.71,,8116.0,,2930524.0,227.322,31.9,1.307,0.617,116935.6,,176.69,16.52,0.8,26.9,,1.2,80.23,0.848
